LSOA	value
E01001501	2
E01001527	1
E01001458	1
E01001553	0
E01001554	1
E01001562	0
E01032574	1
E01021800	0
E01021806	0
E01021789	0
E01021781	0
E01021749	0
E01021752	0
E01021764	0
E01021766	0
E01030389	0
E01030393	0
E01022814	0
E01026634	0
E01001690	0
E01001692	0
E01001693	1
E01001694	1
E01001687	1
E01001688	2
E01033739	1
E01033740	1
E01033741	1
E01033743	1
E01033745	0
E01001575	1
E01001576	2
E01001577	1
E01001578	1
E01001579	0
E01001709	1
E01001711	0
E01001712	1
E01033731	2
E01033734	0
E01033735	2
E01033736	0
E01033737	2
E01001705	1
E01001706	0
E01001708	1
E01001710	0
E01001713	1
E01001672	1
E01001673	1
E01001674	0
E01001675	2
E01001677	0
E01001631	0
E01001632	0
E01001635	0
E01001636	0
E01033742	0
E01033744	0
E01001571	0
E01001572	0
E01001573	0
E01001574	1
E01001629	1
E01001633	0
E01001634	1
E01001637	0
E01001695	0
E01001696	2
E01001697	0
E01001700	1
E01001703	0
E01001704	0
E01001588	0
E01001589	1
E01001591	1
E01001595	1
E01001590	0
E01001592	0
E01001593	0
E01001594	0
E01001698	0
E01001699	0
E01001701	1
E01001702	0
E01001581	0
E01001585	0
E01001586	0
E01001587	0
E01001678	0
E01001683	1
E01001684	0
E01001685	0
E01001646	1
E01001650	0
E01001651	1
E01001652	1
E01001679	0
E01001680	0
E01001681	0
E01001682	0
E01001686	0
E01001580	1
E01001582	1
E01001583	0
E01001584	0
E01001645	0
E01001647	0
E01001648	0
E01001649	0
E01001605	0
E01001606	0
E01001610	0
E01001611	0
E01001620	1
E01001621	2
E01001623	0
E01001624	0
E01001625	0
E01001604	0
E01001607	0
E01001608	0
E01001609	1
E01001613	1
E01001614	1
E01001615	2
E01001617	0
E01001653	0
E01001654	0
E01001655	1
E01001660	0
E01001661	0
E01001618	1
E01001619	0
E01033729	0
E01001597	0
E01001598	1
E01001602	0
E01001603	0
E01001596	0
E01001599	1
E01001600	0
E01001601	0
E01001669	1
E01001671	0
E01001676	0
E01032567	0
E01001656	0
E01001657	0
E01001658	0
E01001659	0
E01033726	1
E01001640	2
E01033727	0
E01033728	0
E01033730	1
E01001666	2
E01001667	2
E01001668	1
E01033732	0
E01033733	0
E01001662	1
E01001664	1
E01001665	0
E01033738	2
E01001638	1
E01001641	2
E01001642	1
E01001644	2
E01033746	0
E01001808	2
E01001809	0
E01001814	1
E01001823	0
E01001825	0
E01001714	0
E01001811	0
E01001813	1
E01033701	0
E01001799	0
E01001802	0
E01001804	0
E01001807	1
E01001812	0
E01001725	1
E01001726	0
E01001800	1
E01001824	1
E01001826	0
E01001723	0
E01001724	1
E01001727	0
E01001768	1
E01001769	0
E01001715	0
E01001716	2
E01001717	0
E01001718	0
E01001719	0
E01001720	0
E01001742	1
E01001801	0
E01001803	1
E01001806	1
E01001741	0
E01001805	0
E01001829	0
E01001831	2
E01001832	0
E01001764	1
E01001765	0
E01001767	0
E01001770	0
E01033703	1
E01033713	1
E01001792	1
E01001793	1
E01001794	2
E01001795	0
E01001796	0
E01001736	0
E01001737	1
E01001738	0
E01001739	1
E01001786	1
E01001788	1
E01001790	0
E01001740	1
E01001747	2
E01001830	0
E01001833	2
E01001834	1
E01001835	0
E01001733	1
E01001785	0
E01001789	1
E01001791	0
E01001745	1
E01001746	1
E01001757	0
E01001758	1
E01001759	0
E01001761	1
E01001731	2
E01001734	2
E01001760	2
E01001762	2
E01001846	0
E01001847	0
E01001848	1
E01001849	1
E01001729	2
E01001730	2
E01001732	0
E01001735	0
E01001838	0
E01001850	2
E01001748	2
E01001749	1
E01001763	1
E01001816	1
E01001819	1
E01001744	0
E01001750	1
E01001751	1
E01001756	1
E01033698	0
E01033699	2
E01033700	2
E01033707	2
E01001836	1
E01001840	1
E01001841	1
E01001844	1
E01001845	1
E01001837	1
E01001839	2
E01001842	1
E01001843	0
E01033704	2
E01033712	2
E01001772	0
E01001774	1
E01001775	1
E01001815	0
E01001820	0
E01001821	0
E01001752	1
E01001753	0
E01001754	0
E01001755	1
E01001773	1
E01001776	1
E01001779	2
E01001781	0
E01001782	0
E01001783	0
E01001777	2
E01001780	2
E01001784	1
E01033706	2
E01033708	2
E01033709	1
E01033711	1
E01001798	1
E01001828	1
E01033702	1
E01033705	0
E01033710	0
E01001722	1
E01001728	1
E01001822	1
E01001827	1
E01001874	2
E01001875	1
E01001876	2
E01001877	1
E01001878	0
E01001955	1
E01001957	0
E01001958	1
E01001961	0
E01001954	1
E01001956	2
E01001959	1
E01001960	0
E01001943	2
E01001944	0
E01001945	1
E01001946	1
E01001862	1
E01001940	1
E01001941	2
E01001942	2
E01001858	1
E01001860	1
E01001861	1
E01001863	1
E01001864	0
E01001852	1
E01001853	0
E01001854	0
E01001857	2
E01001859	0
E01001865	0
E01001927	0
E01001930	0
E01001895	1
E01001896	0
E01001897	1
E01001929	0
E01001851	0
E01001855	0
E01001856	0
E01001869	1
E01001873	0
E01001928	0
E01001931	0
E01001932	2
E01001933	1
E01001866	1
E01001867	0
E01001868	0
E01001870	1
E01001871	0
E01001872	0
E01001893	1
E01001894	2
E01001898	2
E01001899	2
E01001900	1
E01001889	1
E01001910	0
E01001914	2
E01001885	0
E01001908	0
E01001909	1
E01001911	0
E01001912	1
E01001886	1
E01001887	1
E01001890	1
E01001892	0
E01001880	0
E01001881	2
E01001882	0
E01001883	0
E01001884	2
E01001888	1
E01001891	2
E01001917	0
E01001918	0
E01001919	0
E01001879	0
E01001901	0
E01001902	0
E01001903	1
E01001920	1
E01001921	1
E01001922	1
E01001923	1
E01001924	0
E01001947	0
E01001948	1
E01001949	0
E01001950	1
E01001951	1
E01001953	2
E01001904	1
E01001905	1
E01001906	0
E01001907	0
