LSOA	value
E01000980	0
E01000981	0
E01000982	0
E01000983	0
E01001187	0
E01000989	0
E01000991	0
E01001131	0
E01001132	0
E01001134	0
E01001005	0
E01001008	0
E01001009	0
E01001010	0
E01001011	0
E01001012	0
E01001013	1
E01001048	2
E01001110	0
E01001118	0
E01000985	0
E01000986	0
E01000987	0
E01000993	0
E01000975	0
E01000976	0
E01000977	0
E01000978	0
E01000979	0
E01000984	0
E01001044	0
E01001046	0
E01001049	0
E01001050	0
E01001014	2
E01001042	1
E01001165	0
E01001166	0
E01001168	0
E01001127	0
E01001128	0
E01001130	0
E01001135	0
E01001062	0
E01001063	0
E01001064	0
E01001129	0
E01001133	0
E01001035	0
E01001043	2
E01001045	1
E01001047	0
E01001170	0
E01001167	0
E01001169	0
E01001171	0
E01001172	0
E01001173	0
E01001036	0
E01001037	0
E01001038	0
E01001039	0
E01001040	0
E01001051	0
E01001052	0
E01001054	0
E01001056	0
E01001057	0
E01001033	0
E01001034	0
E01001041	0
E01001095	0
E01001100	0
E01001053	0
E01001055	0
E01001077	0
E01001078	0
E01001082	0
E01001120	0
E01001122	0
E01001123	0
E01001124	0
E01001125	0
E01001058	0
E01001059	0
E01001060	0
E01001061	0
E01001065	0
E01001066	0
E01001119	0
E01001126	0
E01001032	0
E01001101	0
E01001102	0
E01001107	0
E01001108	0
E01001076	0
E01001079	0
E01001080	0
E01001081	0
E01001073	0
E01001092	0
E01001093	0
E01001096	0
E01001097	1
E01001098	0
E01001028	0
E01001029	0
E01001030	0
E01001031	0
E01001094	0
E01001103	0
E01001105	0
E01001106	0
E01001121	0
E01001069	0
E01001070	0
E01001075	0
E01001099	0
E01001015	0
E01001016	0
E01001023	0
E01001067	0
E01001074	0
E01001068	0
E01001071	0
E01001104	0
E01001017	0
E01001024	0
E01001025	0
E01001026	0
E01001027	0
E01001018	0
E01001020	0
E01001021	0
E01001022	0
E01000990	0
E01001189	0
E01001190	0
E01001194	0
E01032569	0
E01023373	0
E01001269	0
E01001271	0
E01001309	0
E01001310	0
E01001311	0
E01001307	0
E01001308	0
E01001312	0
E01001313	0
E01001314	0
E01001315	0
E01001316	0
E01001317	0
E01001318	0
E01001320	0
E01001321	0
E01001270	0
E01001319	0
E01001322	0
E01001323	0
E01001341	0
E01001342	0
E01001343	0
E01001345	0
E01001265	0
E01001266	0
E01001267	0
E01001272	0
E01001349	0
E01001344	0
E01001346	0
E01001347	0
E01001348	0
E01001257	0
E01001324	0
E01001326	0
E01001330	0
E01001332	0
